Rank,Game Number,Date,Age,Opposition,Result,Games Started,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Gamescore,Plus Minus
39,39,1/11/2024,25-227,PHO,L (-18),1,30:22:00,4,7,0.571,2,3,0.667,3,3,1,1,0,1,6,1,0,3,2,13,11.8,-23
40,40,1/13/2024,25-229,UTA,L (-7),1,30:54:00,7,8,0.875,1,2,0.5,4,6,0.667,1,3,4,2,0,0,1,6,19,15,-21
41,41,1/15/2024,25-231,OKC,W (+7),1,33:10:00,6,10,0.6,1,3,0.333,2,2,1,0,3,3,7,0,1,2,0,15,14.9,9
42,42,1/17/2024,25-233,DAL,W (+17),1,29:30:00,6,8,0.75,2,2,1,0,0,,0,3,3,7,1,0,3,2,14,13.8,20
43,43,1/19/2024,25-235,BRK,L (-18),1,33:25:00,4,12,0.333,0,6,0,1,1,1,0,3,3,5,1,0,0,2,9,6.8,-13
44,44,1/21/2024,25-237,POR,W (+24),1,25:36:00,5,10,0.5,3,4,0.75,2,2,1,1,3,4,2,1,0,1,1,15,12.6,4
45,45,1/23/2024,25-239,LAC,L (-11),1,33:56:00,5,14,0.357,2,8,0.25,0,0,,0,2,2,5,2,1,3,3,12,6.8,-8
46,46,1/25/2024,25-241,CHI,W (+9),1,33:13:00,7,9,0.778,2,3,0.667,4,4,1,0,3,3,8,0,0,1,4,20,20.4,14
47,47,1/27/2024,25-243,GSW,W (+1),1,46:46:00,4,14,0.286,1,7,0.143,8,9,0.889,0,2,2,6,2,0,5,3,17,9,4
48,48,1/29/2024,25-245,HOU,L (-16),1,29:44:00,3,8,0.375,1,3,0.333,1,2,0.5,1,2,3,5,1,0,2,1,8,6.6,-11
49,49,1/30/2024,25-246,ATL,L (-16),1,32:21:00,10,19,0.526,3,8,0.375,5,7,0.714,0,0,0,6,2,0,2,1,28,21.7,-15
